%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580683193963505096,5,1580683193962775945,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683194987116274,6,1580683194986450910,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683195963156191,7,1580683195962483882,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683196964457635,8,1580683196963778018,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683197988794390,9,1580683197988142967,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683198965052793,10,1580683198964457988,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683199966037086,11,1580683199965265989,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683200968705599,12,1580683200967978954,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683201968059738,13,1580683201967439889,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683202968470732,14,1580683202967730045,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683203994789862,15,1580683203994085073,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683204969188923,16,1580683204968506097,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683205977048705,17,1580683205976295948,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683206963661821,18,1580683206962821006,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683207969089006,19,1580683207968322038,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683208969256576,20,1580683208968417882,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683209969123185,21,1580683209968506097,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683210969038637,22,1580683210968305110,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683211962041073,23,1580683211961347103,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683212963968116,24,1580683212963375091,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683213964350268,25,1580683213963725090,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683214969150842,26,1580683214968456029,gps,42.12318,71.0338214,10.1999998093,331885.381208,4665454.6468,19,T
1580683215972801748,27,1580683215972130060,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683216969227946,28,1580683216968543052,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683217968886137,29,1580683217967999935,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683218962835839,30,1580683218962219953,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683219962316759,31,1580683219961625099,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683220970510501,32,1580683220969750881,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683221970577978,33,1580683221969868898,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683222966122879,34,1580683222965435028,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683223970565105,35,1580683223969821929,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683224966126970,36,1580683224965454101,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683225964851459,37,1580683225964232921,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683226973164643,38,1580683226972574949,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683227972713657,39,1580683227972084999,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683228965323051,40,1580683228964663028,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683229969159162,41,1580683229968477964,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683230965999987,42,1580683230965348958,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683231969482135,43,1580683231968799114,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683232995396422,44,1580683232994631052,gps,42.12318,71.0338214,10.3000001907,331885.381208,4665454.6468,19,T
1580683233969160952,45,1580683233968458890,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683234969783371,46,1580683234969144105,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683235969391526,47,1580683235968841075,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683236977633576,48,1580683236977005004,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683237992265160,49,1580683237991657018,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683238969972126,50,1580683238969194889,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683239970673448,51,1580683239969996929,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683240994628119,52,1580683240993940114,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683241969177759,53,1580683241968432903,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683242970171387,54,1580683242969552993,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683243964579293,55,1580683243963834047,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683244969257410,56,1580683244968638896,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683245990417998,57,1580683245989672899,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683246973556904,58,1580683246973006963,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683247970343350,59,1580683247969729900,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683248989519667,60,1580683248988771915,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683249969586397,61,1580683249968938112,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683250969245256,62,1580683250968494892,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683251969823287,63,1580683251969027042,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683252970252230,64,1580683252969454050,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683253986829031,65,1580683253986053943,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683254974521326,66,1580683254973762989,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683255960531096,67,1580683255959726095,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683256967510341,68,1580683256966924905,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683257964394273,69,1580683257963603019,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683258969528786,70,1580683258968894958,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683259962988112,71,1580683259962196111,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683260966488441,72,1580683260965892076,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683261959153535,73,1580683261958435058,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683262966257997,74,1580683262965619087,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683263969812674,75,1580683263969144105,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683264973921575,76,1580683264973119020,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683265968231529,77,1580683265967489957,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683266961672159,78,1580683266960990905,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683267959734320,79,1580683267959031105,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683268967367089,80,1580683268966631889,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683269964932130,81,1580683269964283943,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683270964052324,82,1580683270963488101,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683271965128212,83,1580683271964565992,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683272965670280,84,1580683272965048074,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683273969659258,85,1580683273969048023,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683274964880572,86,1580683274964251041,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683275962208178,87,1580683275961569070,gps,42.1231806,71.0338214,10.3999996185,331885.382794,4665454.71342,19,T
1580683276962297772,88,1580683276961673021,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683277957281180,89,1580683277956604957,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683278967406086,90,1580683278966801881,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683279965648115,91,1580683279964755058,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683280963191276,92,1580683280962435007,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683281973512687,93,1580683281972866058,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683282965272129,94,1580683282964565992,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683283983549957,95,1580683283982794046,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683284961284726,96,1580683284960664987,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683285962547647,97,1580683285961971998,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683286965377668,98,1580683286964730978,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683287989222343,99,1580683287988374948,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683288967614031,100,1580683288966895103,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683289969809057,101,1580683289969286918,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683290992557161,102,1580683290991895914,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683291963922252,103,1580683291963155984,gps,42.1231806,71.0338214,10.3000001907,331885.382794,4665454.71342,19,T
1580683292969208595,104,1580683292968517065,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683293968872992,105,1580683293968241930,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683294968793166,106,1580683294968209028,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683295969506622,107,1580683295968903064,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683296988899077,108,1580683296988200902,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683297961288716,109,1580683297960643053,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683298970535458,110,1580683298969865083,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683299994307760,111,1580683299993541955,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683300968737527,112,1580683300968084096,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683301961592342,113,1580683301960942029,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683302973226752,114,1580683302972393035,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683303996223164,115,1580683303995336055,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683304969544656,116,1580683304968897104,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683305969023754,117,1580683305968374013,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683306968169841,118,1580683306967298984,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683307962844137,119,1580683307962152957,gps,42.1231806,71.033822,10.3000001907,331885.333197,4665454.7146,19,T
1580683308969925274,120,1580683308969166040,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683309961724513,121,1580683309961179971,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683310967324983,122,1580683310966576099,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683311967951966,123,1580683311967341899,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683312968269736,124,1580683312967448949,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683313968282815,125,1580683313967503070,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683314963106395,126,1580683314962479114,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683315964320319,127,1580683315963593006,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683316970150679,128,1580683316969404935,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683317969127305,129,1580683317968354940,gps,42.1231806,71.033822,10.3999996185,331885.333197,4665454.7146,19,T
1580683318968353230,130,1580683318967715978,gps,42.1231812,71.0338226,10.3000001907,331885.285186,4665454.7824,19,T
1580683319970206954,131,1580683319969444990,gps,42.1231818,71.0338226,10.3000001907,331885.286773,4665454.84903,19,T
1580683320963692379,132,1580683320962994098,gps,42.1231818,71.0338226,10.3000001907,331885.286773,4665454.84903,19,T
1580683321965373812,133,1580683321964646100,gps,42.1231818,71.0338226,10.3000001907,331885.286773,4665454.84903,19,T
