%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580684597543109408,6,1580684597542429924,gps,42.1217598,71.0341052,17.7999992371,331858.164828,4665297.50892,19,T
1580684598542293930,7,1580684598541676044,gps,42.1217598,71.0341052,17.7999992371,331858.164828,4665297.50892,19,T
1580684599543890460,8,1580684599543133974,gps,42.1217598,71.0341034,17.7999992371,331858.313625,4665297.50538,19,T
1580684600543985205,9,1580684600543345928,gps,42.1217598,71.0341004,17.7999992371,331858.561619,4665297.49947,19,T
1580684601545851716,10,1580684601545255899,gps,42.1217604,71.0340974,18.1000003815,331858.811201,4665297.56019,19,T
1580684602545304356,11,1580684602544751882,gps,42.1217616,71.0340932,18.1000003815,331859.161567,4665297.68516,19,T
1580684603576067857,12,1580684603575354099,gps,42.1217634,71.0340884,18.1000003815,331859.56312,4665297.87558,19,T
1580684604545647944,13,1580684604545023918,gps,42.1217658,71.0340842,18.1000003815,331859.91666,4665298.1338,19,T
1580684605578681488,14,1580684605577985048,gps,42.1217676,71.0340794,18.1000003815,331860.318213,4665298.32422,19,T
1580684606545268712,15,1580684606544686079,gps,42.1217694,71.0340746,18.2000007629,331860.719765,4665298.51463,19,T
1580684607546774997,16,1580684607546220064,gps,42.1217706,71.0340704,18.2999992371,331861.070132,4665298.63961,19,T
1580684608548152840,17,1580684608547410964,gps,42.1217724,71.0340662,18.2999992371,331861.422085,4665298.83121,19,T
1580684609548492241,18,1580684609547719955,gps,42.1217742,71.0340614,18.5,331861.823638,4665299.02163,19,T
1580684610548204106,19,1580684610547529935,gps,42.1217754,71.0340572,18.6000003815,331862.174004,4665299.1466,19,T
1580684611550402039,20,1580684611549741029,gps,42.1217772,71.034053,18.7000007629,331862.525957,4665299.3382,19,T
1580684612547833955,21,1580684612546921968,gps,42.121779,71.0340494,18.6000003815,331862.828312,4665299.53098,19,T
1580684613582045247,22,1580684613581306934,gps,42.1217808,71.0340452,18.6000003815,331863.180265,4665299.72258,19,T
1580684614548944694,23,1580684614548080921,gps,42.1217826,71.0340404,18.5,331863.581818,4665299.913,19,T
1580684615581111904,24,1580684615580914020,gps,42.1217844,71.0340356,18.6000003815,331863.98337,4665300.10341,19,T
