%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580700751528870168,1,1580683194986450910,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700752504785251,2,1580683195962483882,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700753505915438,3,1580683196963778018,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700754529250379,4,1580683197988142967,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700755506845351,5,1580683198964457988,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700756507804971,6,1580683199965265989,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700757510120223,7,1580683200967978954,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700758509806184,8,1580683201967439889,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700759509984651,9,1580683202967730045,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700760536250878,10,1580683203994085073,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700761510732944,11,1580683204968506097,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700762518609556,12,1580683205976295948,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700763505182218,13,1580683206962821006,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700764510743666,14,1580683207968322038,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700765510938541,15,1580683208968417882,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700766510829971,16,1580683209968506097,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700767510763693,17,1580683210968305110,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700768503930166,18,1580683211961347103,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700769505770959,19,1580683212963375091,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700770505966277,20,1580683213963725090,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700771510893481,21,1580683214968456029,gps,42.3421666667,-71.0939483333,10.1999998093,327512.681891,4689891.20645,19,T
1580700772514206149,22,1580683215972130060,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700773511003961,23,1580683216968543052,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700774510334601,24,1580683217967999935,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700775504318907,25,1580683218962219953,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700776503957585,26,1580683219961625099,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700777511929205,27,1580683220969750881,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700778512175072,28,1580683221969868898,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700779507676122,29,1580683222965435028,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700780511973742,30,1580683223969821929,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700781508106722,31,1580683224965454101,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700782506704515,32,1580683225964232921,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700783514880890,33,1580683226972574949,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700784514162193,34,1580683227972084999,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700785507344161,35,1580683228964663028,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700786510594151,36,1580683229968477964,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700787507909722,37,1580683230965348958,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700788511334436,38,1580683231968799114,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700789535987493,39,1580683232994631052,gps,42.3421666667,-71.0939483333,10.3000001907,327512.681891,4689891.20645,19,T
1580700790511024659,40,1580683233968458890,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700791511663238,41,1580683234969144105,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700792510894740,42,1580683235968841075,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700793519257160,43,1580683236977005004,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700794533911788,44,1580683237991657018,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700795511884652,45,1580683238969194889,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700796512106350,46,1580683239969996929,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700797536154449,47,1580683240993940114,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700798510558195,48,1580683241968432903,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700799512151282,49,1580683242969552993,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700800506281020,50,1580683243963834047,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700801510722958,51,1580683244968638896,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700802531983472,52,1580683245989672899,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700803515264424,53,1580683246973006963,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700804512104077,54,1580683247969729900,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700805531228016,55,1580683248988771915,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700806511136393,56,1580683249968938112,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700807511024568,57,1580683250968494892,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700808511569731,58,1580683251969027042,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700809511749117,59,1580683252969454050,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700810528377019,60,1580683253986053943,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700811515930278,61,1580683254973762989,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700812502076327,62,1580683255959726095,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700813509053161,63,1580683256966924905,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700814505964044,64,1580683257963603019,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700815511297076,65,1580683258968894958,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700816504426702,66,1580683259962196111,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700817508066084,67,1580683260965892076,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700818501019659,68,1580683261958435058,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700819507744510,69,1580683262965619087,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700820511602864,70,1580683263969144105,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700821515620034,71,1580683264973119020,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700822509830750,72,1580683265967489957,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700823503208853,73,1580683266960990905,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700824501618922,74,1580683267959031105,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700825508972664,75,1580683268966631889,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700826506547969,76,1580683269964283943,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700827505800022,77,1580683270963488101,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700828506899237,78,1580683271964565992,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700829507473737,79,1580683272965048074,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700830511229742,80,1580683273969048023,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700831506939704,81,1580683274964251041,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700832503815452,82,1580683275961569070,gps,42.3421683333,-71.0939483333,10.3999996185,327512.686448,4689891.39153,19,T
1580700833503887458,83,1580683276961673021,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700834499137040,84,1580683277956604957,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700835508969112,85,1580683278966801881,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700836507149006,86,1580683279964755058,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700837504615491,87,1580683280962435007,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700838515193573,88,1580683281972866058,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700839507031936,89,1580683282964565992,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700840525359227,90,1580683283982794046,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700841503355227,91,1580683284960664987,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700842504331048,92,1580683285961971998,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700843506940277,93,1580683286964730978,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700844531038423,94,1580683287988374948,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700845509369456,95,1580683288966895103,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700846511530343,96,1580683289969286918,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700847534541469,97,1580683290991895914,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700848505699209,98,1580683291963155984,gps,42.3421683333,-71.0939483333,10.3000001907,327512.686448,4689891.39153,19,T
1580700849511083093,99,1580683292968517065,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700850510329341,100,1580683293968241930,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700851510637886,101,1580683294968209028,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700852511405183,102,1580683295968903064,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700853530589443,103,1580683296988200902,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700854501935357,104,1580683297960643053,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
1580700855512272361,105,1580683298969865083,gps,42.3421683333,-71.09395,10.3000001907,327512.549152,4689891.39491,19,T
