%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580701565747486259,1,1580684598541676044,gps,42.3382216667,-71.0947366667,17.7999992371,327436.948999,4689454.74353,19,T
1580701566748894575,2,1580684599543133974,gps,42.3382216667,-71.0947316667,17.7999992371,327437.360913,4689454.73338,19,T
1580701567749152028,3,1580684600543345928,gps,42.3382216667,-71.0947233333,17.7999992371,327438.047437,4689454.71647,19,T
1580701568751283256,4,1580684601545255899,gps,42.3382233333,-71.094715,18.1000003815,327438.738519,4689454.88462,19,T
1580701569750681019,5,1580684602544751882,gps,42.3382266667,-71.0947033333,18.1000003815,327439.70877,4689455.23109,19,T
1580701570781179774,6,1580684603575354099,gps,42.3382316667,-71.09469,18.1000003815,327440.820885,4689455.75924,19,T
1580701571750938442,7,1580684604545023918,gps,42.3382383333,-71.0946783333,18.1000003815,327441.800253,4689456.47585,19,T
1580701572783864514,8,1580684605577985048,gps,42.3382433333,-71.094665,18.1000003815,327442.912367,4689457.004,19,T
1580701573750486666,9,1580684606544686079,gps,42.3382483333,-71.0946516667,18.2000007629,327444.024481,4689457.53216,19,T
1580701574751677085,10,1580684607546220064,gps,42.3382516667,-71.09464,18.2999992371,327444.994732,4689457.87862,19,T
1580701575753042977,11,1580684608547410964,gps,42.3382566667,-71.0946283333,18.2999992371,327445.969541,4689458.41016,19,T
1580701576753755785,12,1580684609547719955,gps,42.3382616667,-71.094615,18.5,327447.081654,4689458.93831,19,T
1580701577753237235,13,1580684610547529935,gps,42.338265,-71.0946033333,18.6000003815,327448.051904,4689459.28478,19,T
1580701578755530798,14,1580684611549741029,gps,42.33827,-71.0945916667,18.7000007629,327449.026713,4689459.81632,19,T
1580701579753064843,15,1580684612546921968,gps,42.338275,-71.0945816667,18.6000003815,327449.864217,4689460.35123,19,T
1580701580787077269,16,1580684613581306934,gps,42.33828,-71.09457,18.6000003815,327450.839025,4689460.88277,19,T
1580701581754061570,17,1580684614548080921,gps,42.338285,-71.0945566667,18.5,327451.951138,4689461.41093,19,T
1580701582786385300,18,1580684615580914020,gps,42.33829,-71.0945433333,18.6000003815,327453.06325,4689461.93908,19,T
1580701583755330634,19,1580684616549581050,gps,42.3382933333,-71.0945333333,18.7000007629,327453.896195,4689462.28893,19,T
1580701584787477317,20,1580684617581782102,gps,42.3382966667,-71.0945183333,18.7000007629,327455.141053,4689462.62863,19,T
1580701585756214352,21,1580684618550225019,gps,42.3383016667,-71.094505,18.8999996185,327456.253165,4689463.15679,19,T
1580701586788028807,22,1580684619582513093,gps,42.338305,-71.0944916667,19.0,327457.360719,4689463.49987,19,T
1580701587758088658,23,1580684620552578926,gps,42.33831,-71.09448,19.1000003815,327458.335526,4689464.03141,19,T
1580701588757396592,24,1580684621551580905,gps,42.3383133333,-71.0944683333,19.2000007629,327459.305774,4689464.37788,19,T
1580701589757841372,25,1580684622552104949,gps,42.3383183333,-71.094455,19.2999992371,327460.417886,4689464.90604,19,T
1580701590759351307,26,1580684623553494930,gps,42.33832,-71.0944433333,19.3999996185,327461.383576,4689465.06743,19,T
1580701591759627177,27,1580684624553976058,gps,42.3383216667,-71.0944316667,19.3999996185,327462.349266,4689465.22883,19,T
1580701592761042125,28,1580684625554574966,gps,42.338325,-71.0944166667,19.5,327463.594123,4689465.56853,19,T
1580701593759420090,29,1580684626553822040,gps,42.3383283333,-71.0944033333,19.8999996185,327464.701675,4689465.91162,19,T
1580701594760161335,30,1580684627554678916,gps,42.3383316667,-71.0943916667,19.7999992371,327465.671923,4689466.25809,19,T
1580701595761834664,31,1580684628555682897,gps,42.3383366667,-71.0943766667,19.7000007629,327466.921338,4689466.78286,19,T
1580701596764078663,32,1580684629558207988,gps,42.33834,-71.0943633333,19.8999996185,327468.028891,4689467.12595,19,T
1580701597760538044,33,1580684630554737091,gps,42.338345,-71.0943483333,20.1000003815,327469.278305,4689467.65073,19,T
1580701598758130996,34,1580684631552419900,gps,42.33835,-71.0943333333,20.2000007629,327470.52772,4689468.1755,19,T
1580701599758861439,35,1580684632553481101,gps,42.3383533333,-71.0943166667,20.2000007629,327471.909881,4689468.51183,19,T
1580701600762250859,36,1580684633556479930,gps,42.3383583333,-71.0943033333,20.2000007629,327473.02199,4689469.03998,19,T
1580701601760001589,37,1580684634554301023,gps,42.338365,-71.09429,20.2000007629,327474.138658,4689469.75321,19,T
1580701602759629997,38,1580684635553414106,gps,42.33837,-71.0942783333,20.2000007629,327475.113463,4689470.28475,19,T
1580701603759860241,39,1580684636554143905,gps,42.3383783333,-71.094265,20.1000003815,327476.234689,4689471.18305,19,T
1580701604760345232,40,1580684637554814100,gps,42.338385,-71.0942516667,19.8999996185,327477.351356,4689471.89628,19,T
1580701605760098049,41,1580684638553844928,gps,42.3383916667,-71.09424,19.5,327478.330718,4689472.6129,19,T
1580701606760571439,42,1580684639554650068,gps,42.3383983333,-71.0942283333,19.2999992371,327479.310081,4689473.32951,19,T
1580701607761873080,43,1580684640556185007,gps,42.338405,-71.0942166667,19.2000007629,327480.289443,4689474.04612,19,T
1580701608762222213,44,1580684641556318998,gps,42.3384116667,-71.0942016667,19.2000007629,327481.543413,4689474.75597,19,T
1580701609761405924,45,1580684642555521011,gps,42.3384216667,-71.094185,19.0,327482.943804,4689475.83258,19,T
1580701610762678613,46,1580684643556641101,gps,42.3384316667,-71.0941666667,18.7000007629,327484.481498,4689476.9058,19,T
1580701611763653822,47,1580684644557812929,gps,42.33844,-71.0941516667,18.5,327485.740025,4689477.80072,19,T
1580701612763685068,48,1580684645557730913,gps,42.33845,-71.0941383333,18.2000007629,327486.865806,4689478.8841,19,T
1580701613764583882,49,1580684646558979034,gps,42.3384583333,-71.0941233333,17.7999992371,327488.124333,4689479.77902,19,T
1580701614765643234,50,1580684647560039997,gps,42.3384683333,-71.0941066667,17.6000003815,327489.524721,4689480.85563,19,T
1580701615766739021,51,1580684648561081886,gps,42.3384766667,-71.09409,17.2999992371,327490.920551,4689481.74717,19,T
1580701616766391583,52,1580684649560554027,gps,42.3384833333,-71.094075,17.2000007629,327492.174519,4689482.45702,19,T
1580701617766037427,53,1580684650560350894,gps,42.33849,-71.0940583333,17.0,327493.565791,4689483.16349,19,T
1580701618767904603,54,1580684651562108039,gps,42.3384966667,-71.0940416667,16.6000003815,327494.957063,4689483.86996,19,T
1580701619767605022,55,1580684652562016963,gps,42.3385033333,-71.094025,16.2000007629,327496.348334,4689484.57643,19,T
1580701620769326978,56,1580684653563482999,gps,42.33851,-71.0940083333,15.8000001907,327497.739605,4689485.2829,19,T
1580701621800202277,57,1580684654594512939,gps,42.33852,-71.0939916667,15.5,327499.139991,4689486.35951,19,T
1580701622769694404,58,1580684655564121007,gps,42.3385283333,-71.093975,15.3000001907,327500.535819,4689487.25105,19,T
1580701623800462661,59,1580684656594866037,gps,42.338535,-71.09396,15.1999998093,327501.789785,4689487.9609,19,T
1580701624770302607,60,1580684657564436912,gps,42.33854,-71.093945,15.1000003815,327503.039193,4689488.48568,19,T
