%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_number,field.zone_letter
1581190238876025859,1,1581190238875870943,,42.3371733333,-71.08979,16.9,327841.608404,4689328.30691,19,T
1581190239878518423,2,1581190239878304958,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190240889700231,3,1581190240889560937,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190241876290344,4,1581190241876138925,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190242877141242,5,1581190242876957893,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190243878110554,6,1581190243877954959,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190244875632963,7,1581190244875502109,,42.3371733333,-71.0897883333,16.9,327841.745711,4689328.30354,19,T
1581190245879069922,8,1581190245878932952,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190246881025701,9,1581190246880861043,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190247892457445,10,1581190247892004966,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190248880998933,11,1581190248880834102,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190249881753955,12,1581190249881550073,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190250877798722,13,1581190250877665996,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190251881763032,14,1581190251881633043,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190252885677892,15,1581190252885505914,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190253884952614,16,1581190253884824037,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190254886196883,17,1581190254886059045,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190255885591214,18,1581190255885375976,,42.3371733333,-71.0897883333,16.8,327841.745711,4689328.30354,19,T
1581190256887875115,19,1581190256887751102,,42.3371733333,-71.08979,16.8,327841.608404,4689328.30691,19,T
1581190257886476336,20,1581190257886042118,,42.3371733333,-71.08979,16.8,327841.608404,4689328.30691,19,T
1581190258888291214,21,1581190258886006116,,42.3371733333,-71.08979,16.8,327841.608404,4689328.30691,19,T
1581190259887000157,22,1581190259886858940,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190260886683599,23,1581190260886444091,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190261884998137,24,1581190261884711027,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190262887592089,25,1581190262887460947,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190263887258600,26,1581190263887115001,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190264885064342,27,1581190264884874105,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190265890744309,28,1581190265890556097,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190266884679482,29,1581190266884533882,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190267889604075,30,1581190267889470100,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190268892615555,31,1581190268892484903,,42.3371733333,-71.08979,16.7,327841.608404,4689328.30691,19,T
1581190269887712274,32,1581190269887592077,,42.3371733333,-71.08979,16.6,327841.608404,4689328.30691,19,T
1581190270896619248,33,1581190270896490097,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190271884095291,34,1581190271883946895,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190272890771188,35,1581190272890605926,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190273889991362,36,1581190273889818906,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190274883320992,37,1581190274883141040,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190275885963779,38,1581190275885812044,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190276891261365,39,1581190276891141891,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190277888504985,40,1581190277888314962,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190278892479568,41,1581190278892261028,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190279889677878,42,1581190279889530897,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190280895481351,43,1581190280895277023,,42.3371716667,-71.08979,16.6,327841.603856,4689328.12184,19,T
1581190281882531304,44,1581190281882349967,,42.3371716667,-71.08979,16.5,327841.603856,4689328.12184,19,T
1581190282919106856,45,1581190282918967962,,42.3371716667,-71.08979,16.5,327841.603856,4689328.12184,19,T
