%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1581120591246131603,8,1581120591245579004,mag,-0.168324704554,0.075598704964,0.192133418026,0.963865332566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000965,-5.6e-05,0.000396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.074,-9.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591270616184,9,1581120591270378112,mag,-0.168282067332,0.0750297303539,0.192549922237,0.963834121011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000938,0.000249,-6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.056,-9.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591295541870,10,1581120591295331001,mag,-0.168882034372,0.0753337844699,0.193134878164,0.963588396682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000387,-0.000515,-0.000864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.051,-9.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591320514399,11,1581120591320295095,mag,-0.16936380744,0.0752372076181,0.193172520913,0.96350383522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,0.000364,0.000492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.058,-9.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591345728801,12,1581120591345366954,mag,-0.169357882422,0.0745831901266,0.19407013647,0.963375335756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081,-0.000173,-0.001151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.051,-9.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591370697565,13,1581120591370393991,mag,-0.169469566638,0.0743290694922,0.195514980603,0.963083146863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102,-0.000593,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.065,-9.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591396194662,14,1581120591395412921,mag,-0.169951087007,0.0742313027148,0.195552120697,0.962998291698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001083,-0.000992,-0.000917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.074,-9.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591421027976,15,1581120591420506000,mag,-0.169951087007,0.0742313027148,0.195552120697,0.962998291698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000168,-0.00096,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.04,-9.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591446512562,16,1581120591445456027,mag,-0.170476973674,0.0747031931971,0.195173941721,0.962945567956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5e-05,-0.000302,-0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.055,-9.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591471050663,17,1581120591470419883,mag,-0.170551591616,0.0745326789002,0.196136789542,0.962749912574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000309,-1e-06,-0.000221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.043,-9.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591496556245,18,1581120591495461940,mag,-0.170227196842,0.074944949699,0.197128024227,0.962572853365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000351,9.9e-05,0.000159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.065,-9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591520932888,19,1581120591520426034,mag,-0.170062242725,0.0739762926697,0.196996397597,0.962703880254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9e-05,-0.000809,0.000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.067,-9.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591546091029,20,1581120591545389890,mag,-0.169752722578,0.075697628162,0.196193333924,0.96278868813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000561,0.001467,-0.000786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.058,-9.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591570761377,21,1581120591570390939,mag,-0.170309610075,0.0754292501698,0.197193763627,0.962506978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000798,-0.000488,0.001444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.059,-9.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591595950514,22,1581120591595369100,mag,-0.169828335317,0.0755278376189,0.197156024355,0.962592013435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.000491,-0.000624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.06,-9.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591621260174,23,1581120591620338916,mag,-0.169903778228,0.075357971548,0.19811851763,0.962394376147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000595,0.001052,-0.000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.063,-9.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591646032707,24,1581120591645315885,mag,-0.170460127856,0.0750884803183,0.199118381914,0.962110666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.000163,0.000613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.053,-9.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591670879955,25,1581120591670363903,mag,-0.170535131094,0.0749179826746,0.200080392862,0.961911067265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001003,0.00119,-0.000421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.055,-9.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591696026302,26,1581120591695313930,mag,-0.170572568767,0.0748327057479,0.200561323365,0.961810906834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000403,-0.000676,-0.000754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.073,-9.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591720660271,27,1581120591720314979,mag,-0.171128099755,0.0745613249457,0.201560339687,0.961524420783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000441,-0.000644,0.001078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.046,-9.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591745783735,28,1581120591745282888,mag,-0.171165359025,0.0744757515792,0.202041076682,0.961423520427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109,-0.000544,-0.000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.064,-9.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591770757110,29,1581120591770312070,mag,-0.171069137611,0.0733370014656,0.202871178561,0.961353378983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000364,0.000126,0.000436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.041,-9.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591795744570,30,1581120591795262098,mag,-0.170983767664,0.072853200131,0.202805492246,0.96141920864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000826,-0.000165,-0.001403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.072,-9.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591821134995,31,1581120591820297956,mag,-0.171464455875,0.0727517882825,0.202841893494,0.961333596582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2e-05,-4.3e-05,0.000502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.044,-9.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591845529130,32,1581120591845190048,mag,-0.171464455875,0.0727517882825,0.202841893494,0.961333596582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000195,-0.000198,0.000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.051,-9.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591871060655,33,1581120591870268106,mag,-0.170898354971,0.0723693805832,0.202739755229,0.961484797941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000621,-0.000827,-0.000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.055,-9.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591895627235,34,1581120591895181894,mag,-0.17041759123,0.0724707414105,0.202703545198,0.961570126929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000937,0.001341,-0.000702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.027,-9.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
