%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581120591246407325,8,0,,-0.0982,0.1818,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591270671319,9,0,,-0.0965,0.1818,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591295797632,10,0,,-0.0973,0.1818,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591320631872,11,0,,-0.0957,0.1801,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591345676061,12,0,,-0.0949,0.1809,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591370917859,13,0,,-0.0973,0.1809,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591396557510,14,0,,-0.0965,0.1835,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591421557384,15,0,,-0.0957,0.1818,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591446254695,16,0,,-0.0965,0.1826,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591471426008,17,0,,-0.0965,0.1818,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591496457929,18,0,,-0.0966,0.1793,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591521341090,19,0,,-0.0948,0.1859,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591546215647,20,0,,-0.0965,0.1834,0.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591571288058,21,0,,-0.0958,0.1792,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591596129858,22,0,,-0.0949,0.1792,0.4201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591621135586,23,0,,-0.0965,0.1801,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591646320574,24,0,,-0.0957,0.1792,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591671188840,25,0,,-0.0941,0.1809,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591696210326,26,0,,-0.0974,0.1801,0.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591721294544,27,0,,-0.0965,0.1826,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591746164283,28,0,,-0.0949,0.1801,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591771028191,29,0,,-0.0949,0.186,0.4268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591796211540,30,0,,-0.0974,0.1818,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591821166924,31,0,,-0.0982,0.1801,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591846068756,32,0,,-0.0981,0.1843,0.4218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591871251214,33,0,,-0.0965,0.1835,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591896002553,34,0,,-0.0973,0.1835,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591921199251,35,0,,-0.0982,0.1818,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591946118740,36,0,,-0.0966,0.1776,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591970974834,37,0,,-0.0972,0.1877,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120591995838766,38,0,,-0.0965,0.1801,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592020643534,39,0,,-0.0966,0.1784,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592046012700,40,0,,-0.0956,0.1851,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592070978094,41,0,,-0.0957,0.1826,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592095745459,42,0,,-0.0966,0.1793,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592120767947,43,0,,-0.0966,0.1784,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592145635736,44,0,,-0.0965,0.1809,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592172112966,45,0,,-0.0957,0.1818,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592196297957,46,0,,-0.0949,0.1817,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592221889834,47,0,,-0.0974,0.181,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592245678270,48,0,,-0.094,0.1868,0.4249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592271622677,49,0,,-0.0949,0.1817,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592296307587,50,0,,-0.0957,0.1817,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592321720423,51,0,,-0.0949,0.18,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592346782352,52,0,,-0.0965,0.1809,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592371775889,53,0,,-0.0949,0.1801,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592396576402,54,0,,-0.0965,0.1826,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592421386223,55,0,,-0.0957,0.1818,0.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592446515701,56,0,,-0.0957,0.1826,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592471612619,57,0,,-0.0966,0.1801,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592496690765,58,0,,-0.0981,0.1835,0.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592521452275,59,0,,-0.0966,0.1809,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592546580110,60,0,,-0.0965,0.1818,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592571425118,61,0,,-0.0982,0.1793,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592596624917,62,0,,-0.0973,0.1826,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592621751892,63,0,,-0.0974,0.1801,0.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592646262320,64,0,,-0.0965,0.1834,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592671195087,65,0,,-0.0956,0.1851,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592696472618,66,0,,-0.0973,0.1835,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592721173381,67,0,,-0.0965,0.1826,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592746153603,68,0,,-0.0982,0.1785,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592771365597,69,0,,-0.0982,0.1793,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592796637480,70,0,,-0.0966,0.1809,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592821611861,71,0,,-0.0981,0.1852,0.4208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592846364202,72,0,,-0.0949,0.1826,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592871311087,73,0,,-0.0957,0.1826,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592896233956,74,0,,-0.0957,0.1809,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592921183699,75,0,,-0.0958,0.1767,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592946065806,76,0,,-0.0982,0.1776,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592971200283,77,0,,-0.0949,0.1834,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120592996288351,78,0,,-0.0957,0.1818,0.4229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593021432022,79,0,,-0.095,0.1792,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593046048911,80,0,,-0.0966,0.1784,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593071083838,81,0,,-0.095,0.1792,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593096261967,82,0,,-0.0965,0.1818,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593120913687,83,0,,-0.0966,0.1793,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593145976635,84,0,,-0.0981,0.1852,0.4238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593171157443,85,0,,-0.0966,0.1801,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593196180197,86,0,,-0.0941,0.1809,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593221057559,87,0,,-0.0949,0.1809,0.4249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593245807348,88,0,,-0.0958,0.1792,0.4239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593271003716,89,0,,-0.0958,0.1801,0.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593296017469,90,0,,-0.0949,0.1826,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593320814678,91,0,,-0.094,0.1842,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593345740983,92,0,,-0.0958,0.1784,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593371540086,93,0,,-0.0966,0.1784,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593395833877,94,0,,-0.0966,0.181,0.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593421690620,95,0,,-0.0958,0.1784,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593446568206,96,0,,-0.0957,0.1809,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593471902031,97,0,,-0.0949,0.1834,0.4249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593496584669,98,0,,-0.0966,0.1793,0.4269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581120593521766693,99,0,,-0.0974,0.181,0.4268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
