%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter_as_fields,field.quality
1582845111406390555,1,1582845111406154870,GNSSpuck,42.3372717383,-71.0869660733,-1.209,328074.523401,4689333.52044,19,T,5
1582845112403234500,2,1582845112402004957,GNSSpuck,42.33727217,-71.0869667267,-1.434,328074.470754,4689333.56969,19,T,5
1582845113412573314,3,1582845113411483287,GNSSpuck,42.3372725483,-71.086967245,-1.645,328074.429082,4689333.61275,19,T,5
1582845114411705467,4,1582845114411200046,GNSSpuck,42.3372725983,-71.08696761,-1.82,328074.399148,4689333.61904,19,T,5
1582845115423519439,5,1582845115422683477,GNSSpuck,42.3372726467,-71.0869680083,-1.966,328074.366464,4689333.62521,19,T,5
1582845116402677261,6,1582845116401978254,GNSSpuck,42.3372727133,-71.0869683,-2.017,328074.342617,4689333.6332,19,T,5
1582845117418343332,7,1582845117415893793,GNSSpuck,42.3372727683,-71.0869686,-2.109,328074.318051,4689333.63992,19,T,5
1582845118407567191,8,1582845118407251119,GNSSpuck,42.337272905,-71.0869690367,-2.062,328074.28245,4689333.65598,19,T,5
1582845119412617172,9,1582845119410485982,GNSSpuck,42.3372729917,-71.0869693417,-1.994,328074.257559,4689333.66622,19,T,5
1582845120417900490,10,1582845120417712926,GNSSpuck,42.3372733633,-71.0869696533,-2.058,328074.232895,4689333.70812,19,T,5
1582845121415065471,11,1582845121413999319,GNSSpuck,42.3372736283,-71.086969845,-2.114,328074.217827,4689333.73793,19,T,5
1582845122415130755,12,1582845122413494586,GNSSpuck,42.33727373,-71.0869701133,-2.069,328074.195998,4689333.74976,19,T,5
1582845123415409280,13,1582845123414245843,GNSSpuck,42.3372737483,-71.086969945,-2.1,328074.209916,4689333.75146,19,T,5
1582845124411653244,14,1582845124410526752,GNSSpuck,42.3372740783,-71.0869703167,-1.95,328074.180196,4689333.78885,19,T,5
1582845125422369497,15,1582845125420925140,GNSSpuck,42.3372740733,-71.0869705633,-1.674,328074.159861,4689333.7888,19,T,5
1582845126413224841,16,1582845126410710334,GNSSpuck,42.3372737767,-71.0869704367,-1.558,328074.169487,4689333.7556,19,T,5
1582845127420925083,17,1582845127420754671,GNSSpuck,42.33727318,-71.0869699933,-1.562,328074.204385,4689333.68845,19,T,5
1582845128413448538,18,1582845128411703824,GNSSpuck,42.3372727267,-71.0869697133,-1.467,328074.226217,4689333.63754,19,T,5
1582845129419643149,19,1582845129418179035,GNSSpuck,42.3372723433,-71.0869695067,-1.155,328074.242198,4689333.59456,19,T,5
1582845130412460778,20,1582845130412213802,GNSSpuck,42.3372718317,-71.0869698817,-0.561,328074.20991,4689333.5385,19,T,5
1582845131413158592,21,1582845131411912202,GNSSpuck,42.33727124,-71.0869702133,0.019,328074.180973,4689333.47347,19,T,5
1582845132513937669,22,1582845132513256549,GNSSpuck,42.33727065,-71.0869705567,0.549,328074.15108,4689333.40865,19,T,5
1582845133515931670,23,1582845133514497041,GNSSpuck,42.33726958,-71.086970795,1.17,328074.128529,4689333.29032,19,T,5
1582845134496220255,24,1582845134495246171,GNSSpuck,42.3372682183,-71.0869709333,1.834,328074.113422,4689333.13939,19,T,5
1582845135502801464,25,1582845135501211404,GNSSpuck,42.3372658883,-71.0869717633,2.743,328074.038693,4689332.88234,19,T,5
1582845136515885408,26,1582845136513291120,GNSSpuck,42.337263885,-71.08697247,3.469,328073.975016,4689332.66132,19,T,5
1582845137507169619,27,1582845137505560636,GNSSpuck,42.337262425,-71.0869729883,4.019,328073.928335,4689332.50024,19,T,5
1582845138512922021,28,1582845138511405229,GNSSpuck,42.33726098,-71.0869734233,4.55,328073.888559,4689332.34067,19,T,5
1582845139522311929,29,1582845139522167921,GNSSpuck,42.3372598417,-71.086973945,5.052,328073.84248,4689332.21532,19,T,5
1582845140513870660,30,1582845140513624429,GNSSpuck,42.3372588517,-71.08697431,5.456,328073.809712,4689332.10612,19,T,5
1582845141419598721,31,1582845141418761253,GNSSpuck,42.33725777,-71.0869745067,5.771,328073.790562,4689331.98641,19,T,5
1582845142415335560,32,1582845142414122343,GNSSpuck,42.337256995,-71.0869746717,6.038,328073.774857,4689331.90069,19,T,5
1582845143419120541,33,1582845143417761087,GNSSpuck,42.3372565433,-71.08697436,6.083,328073.799302,4689331.8499,19,T,5
1582845144453742985,34,1582845144452250003,GNSSpuck,42.3372563867,-71.0869738633,6.095,328073.839792,4689331.8315,19,T,5
1582845145415538183,35,1582845145414152622,GNSSpuck,42.3372562267,-71.0869735517,6.205,328073.865033,4689331.8131,19,T,5
1582845146419700939,36,1582845146418030023,GNSSpuck,42.3372559933,-71.086973125,6.248,328073.899547,4689331.78633,19,T,5
1582845147419501121,37,1582845147418220996,GNSSpuck,42.3372558917,-71.086972705,6.273,328073.933872,4689331.77419,19,T,5
1582845148407258970,38,1582845148405924558,GNSSpuck,42.337255845,-71.086972225,6.296,328073.973289,4689331.76804,19,T,5
1582845149458680330,39,1582845149456819295,GNSSpuck,42.33725595,-71.0869718883,6.326,328074.001311,4689331.77902,19,T,5
1582845150410573411,40,1582845150410419702,GNSSpuck,42.337256385,-71.086971555,6.306,328074.029958,4689331.82665,19,T,5
1582845151421714845,41,1582845151420706272,GNSSpuck,42.3372567617,-71.0869712417,6.28,328074.056798,4689331.86784,19,T,5
1582845152413264158,42,1582845152411628246,GNSSpuck,42.3372571533,-71.086970945,6.262,328074.082306,4689331.91073,19,T,5
1582845153420731049,43,1582845153419348478,GNSSpuck,42.3372575117,-71.0869706133,6.129,328074.110606,4689331.94985,19,T,5
1582845154465253728,44,1582845154461656332,GNSSpuck,42.3372579133,-71.0869702917,6.02,328074.138201,4689331.9938,19,T,5
1582845155414178230,45,1582845155413416624,GNSSpuck,42.3372581483,-71.086970015,5.963,328074.161635,4689332.01934,19,T,5
1582845156409206451,46,1582845156408227682,GNSSpuck,42.3372583683,-71.086969775,5.933,328074.182006,4689332.04328,19,T,5
1582845157419745955,47,1582845157417352676,GNSSpuck,42.3372588333,-71.086969705,5.786,328074.189041,4689332.09478,19,T,5
1582845158417424113,48,1582845158415869712,GNSSpuck,42.33725907,-71.086969705,5.708,328074.189685,4689332.12106,19,T,5
1582845159464682963,49,1582845159463740825,GNSSpuck,42.3372593533,-71.0869696267,5.625,328074.196911,4689332.15236,19,T,5
1582845160405301798,50,1582845160403712749,GNSSpuck,42.3372594683,-71.086969645,5.595,328074.195714,4689332.16517,19,T,5
1582845161403755799,51,1582845161403440237,GNSSpuck,42.337259495,-71.086969675,5.565,328074.193315,4689332.16819,19,T,5
1582845162411045958,52,1582845162409303665,GNSSpuck,42.3372594483,-71.08696978,5.595,328074.184538,4689332.16322,19,T,5
1582845163405349506,53,1582845163403900623,GNSSpuck,42.3372596767,-71.0869697817,5.477,328074.185023,4689332.18858,19,T,5
1582845164400173472,54,1582845164398824453,GNSSpuck,42.3372594983,-71.086969745,5.437,328074.187557,4689332.1687,19,T,5
1582845165421325644,55,1582845165420086860,GNSSpuck,42.3372594217,-71.086969635,5.345,328074.196411,4689332.15996,19,T,1
1582845166395933800,56,1582845166394775390,GNSSpuck,42.3372593017,-71.0869694733,5.215,328074.209402,4689332.14631,19,T,1
1582845167432593881,57,1582845167431587219,GNSSpuck,42.33726756,-71.087003765,47.913,328071.406823,4689333.13267,19,T,5
1582845168403786815,58,1582845168403493881,GNSSpuck,42.3372807767,-71.0869789033,25.665,328073.491046,4689334.55001,19,T,5
1582845169412895056,59,1582845169411366462,GNSSpuck,42.3372796183,-71.0869767917,25.346,328073.661857,4689334.41712,19,T,5
1582845170401082237,60,1582845170399652957,GNSSpuck,42.3372794033,-71.0869804917,24.815,328073.35645,4689334.40073,19,T,5
1582845171504208298,61,1582845171500025510,GNSSpuck,42.3372675767,-71.0869386717,1.391,328076.769519,4689333.00291,19,T,5
1582845172501674644,62,1582845172498065233,GNSSpuck,42.337267685,-71.0869387483,1.487,328076.763499,4689333.0151,19,T,1
1582845173412699493,63,1582845173410955429,GNSSpuck,42.3373275867,-71.08692154,-15.322,328078.344435,4689339.63192,19,T,5
1582845174405392854,64,1582845174404423952,GNSSpuck,42.3373915383,-71.086904975,-31.856,328079.883405,4689346.69978,19,T,1
1582845175420581033,65,1582845175417017459,GNSSpuck,42.3374787283,-71.0868823667,-54.413,328081.983574,4689356.33585,19,T,1
1582845176517433770,66,1582845176512008666,GNSSpuck,42.3372198967,-71.0869360583,10.321,328076.854878,4689327.70313,19,T,1
1582845177412928459,67,1582845177412730932,GNSSpuck,42.337282255,-71.0869091333,-16.545,328079.243007,4689334.5731,19,T,5
1582845178419545767,68,1582845178416022062,GNSSpuck,42.3372799633,-71.0869258617,-13.309,328077.858615,4689334.35246,19,T,5
1582845179537400748,69,1582845179533743143,GNSSpuck,42.3372816083,-71.08692984,-12.576,328077.535347,4689334.54316,19,T,5
1582845180501123576,70,1582845180498472452,GNSSpuck,42.3372781517,-71.0869364783,-10.056,328076.979034,4689334.17275,19,T,5
1582845181524986051,71,1582845181521728038,GNSSpuck,42.337277375,-71.086945375,-6.89,328076.243975,4689334.10449,19,T,5
1582845182405561793,72,1582845182404602766,GNSSpuck,42.337274725,-71.0869547733,-3.92,328075.46248,4689333.82923,19,T,5
1582845183537697055,73,1582845183534981012,GNSSpuck,42.3372729867,-71.0869629467,-1.484,328074.784391,4689333.65273,19,T,5
1582845184412566974,74,1582845184411128759,GNSSpuck,42.3372732133,-71.086968465,0.26,328074.330386,4689333.68906,19,T,5
1582845185402419988,75,1582845185401467561,GNSSpuck,42.3372729333,-71.0869733417,1.803,328073.927864,4689333.66783,19,T,5
1582845186407203301,76,1582845186405463218,GNSSpuck,42.3372884933,-71.0869686567,1.846,328074.356238,4689335.38617,19,T,5
1582845187414456442,77,1582845187412432909,GNSSpuck,42.337283835,-71.0869771333,4.012,328073.645201,4689334.88604,19,T,5
1582845188408325229,78,1582845188407346963,GNSSpuck,42.337285765,-71.0869810533,5.286,328073.327515,4689335.10828,19,T,5
1582845189410288995,79,1582845189409244298,GNSSpuck,42.3372891733,-71.08698354,6.177,328073.131942,4689335.49178,19,T,5
1582845190401461203,80,1582845190401175260,GNSSpuck,42.3372911267,-71.0869860467,7.012,328072.930757,4689335.71375,19,T,5
