%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter_as_fields,field.quality
1582847619762061832,1,1582847619759786605,GNSSpuck,42.33906688,-71.0844842383,1.783,328283.873426,4689527.84214,19,T,5
1582847620764873688,2,1582847620761091232,GNSSpuck,42.3390675217,-71.0844835117,2.006,328283.935036,4689527.91193,19,T,5
1582847621766868256,3,1582847621763331413,GNSSpuck,42.339067615,-71.084482655,2.216,328284.005864,4689527.92056,19,T,5
1582847622764448586,4,1582847622762361764,GNSSpuck,42.33906767,-71.08448176,2.448,328284.079745,4689527.92486,19,T,5
1582847623753200972,5,1582847623751420021,GNSSpuck,42.3390667383,-71.084480995,2.529,328284.140231,4689527.81986,19,T,5
1582847624768495287,6,1582847624765037775,GNSSpuck,42.3390662433,-71.0844803683,2.616,328284.19051,4689527.76363,19,T,5
1582847625748050123,7,1582847625745832204,GNSSpuck,42.3390665783,-71.0844804083,2.631,328284.188126,4689527.80091,19,T,1
1582847626775179793,8,1582847626770987987,GNSSpuck,42.3390660667,-71.0844792967,2.927,328284.278314,4689527.74185,19,T,5
1582847627761853063,9,1582847627757729768,GNSSpuck,42.339064965,-71.0844782217,3.193,328284.363876,4689527.61735,19,T,5
1582847628769788915,10,1582847628766411542,GNSSpuck,42.3390648917,-71.0844778083,3.365,328284.397727,4689527.60837,19,T,5
1582847629762075906,11,1582847629759958505,GNSSpuck,42.3390695883,-71.0844725517,4.632,328284.843565,4689528.11928,19,T,5
1582847630768203273,12,1582847630765211820,GNSSpuck,42.3390674667,-71.0844695517,3.969,328285.084935,4689527.87763,19,T,5
1582847631763816537,13,1582847631758795261,GNSSpuck,42.33907232,-71.08446441,5.463,328285.521725,4689528.40617,19,T,5
1582847632771547883,14,1582847632768611669,GNSSpuck,42.3390672817,-71.0844665533,6.457,328285.331439,4689527.85103,19,T,5
1582847633762152525,15,1582847633759665012,GNSSpuck,42.3390649383,-71.0844692217,7.416,328285.105238,4689527.59621,19,T,5
1582847634775211987,16,1582847634772682189,GNSSpuck,42.339062155,-71.0844703117,8.319,328285.007866,4689527.28934,19,T,5
1582847635776222010,17,1582847635772714614,GNSSpuck,42.33906017,-71.0844713817,9.193,328284.914314,4689527.07109,19,T,5
1582847636783004724,18,1582847636780836105,GNSSpuck,42.3390583517,-71.0844729583,9.829,328284.779476,4689526.87236,19,T,5
1582847637761490935,19,1582847637756743431,GNSSpuck,42.3390567183,-71.0844739833,10.144,328284.690589,4689526.69306,19,T,5
1582847638776561240,20,1582847638772042036,GNSSpuck,42.3390551917,-71.0844745517,10.308,328284.639613,4689526.52468,19,T,5
1582847639764841450,21,1582847639762838363,GNSSpuck,42.3390547617,-71.0844748967,9.978,328284.61002,4689526.47763,19,T,5
1582847640768736228,22,1582847640766877889,GNSSpuck,42.339054845,-71.08447507,9.641,328284.595968,4689526.48723,19,T,5
1582847641758049285,23,1582847641755478382,GNSSpuck,42.33905491,-71.08447539,9.227,328284.569783,4689526.4951,19,T,5
1582847642766396207,24,1582847642766141891,GNSSpuck,42.3390548617,-71.0844754583,9.208,328284.564022,4689526.48987,19,T,1
1582847643752157846,25,1582847643750808715,GNSSpuck,42.3390544433,-71.0844754233,8.945,328284.565766,4689526.44335,19,T,5
1582847644769492335,26,1582847644768228530,GNSSpuck,42.3390546783,-71.08447492,8.486,328284.607871,4689526.46842,19,T,5
1582847645762363986,27,1582847645760118484,GNSSpuck,42.3390554517,-71.084474405,8.118,328284.652403,4689526.55326,19,T,5
1582847646767621995,28,1582847646765344142,GNSSpuck,42.3390567667,-71.08447351,7.7,328284.729714,4689526.69747,19,T,5
1582847647755054080,29,1582847647754135847,GNSSpuck,42.3390575833,-71.0844728267,7.449,328284.788231,4689526.78677,19,T,5
1582847648777556624,30,1582847648773994684,GNSSpuck,42.3390583483,-71.0844721933,7.246,328284.842489,4689526.87044,19,T,5
1582847649766479841,31,1582847649763107061,GNSSpuck,42.339058795,-71.0844715,7.144,328284.900823,4689526.91864,19,T,5
1582847650773422123,32,1582847650770496368,GNSSpuck,42.3390594467,-71.0844708167,7.215,328284.958891,4689526.98962,19,T,5
1582847651761657037,33,1582847651757867336,GNSSpuck,42.3390594,-71.0844707767,7.213,328284.962059,4689526.98436,19,T,1
1582847652769080374,34,1582847652766693353,GNSSpuck,42.33907123,-71.084471985,3.296,328284.894717,4689528.30043,19,T,5
1582847653760414776,35,1582847653755793333,GNSSpuck,42.3390699667,-71.0844662067,6.488,328285.367307,4689528.14848,19,T,5
1582847654771101295,36,1582847654770349740,GNSSpuck,42.3390715583,-71.0844653967,6.747,328285.438368,4689528.32359,19,T,5
1582847655761227071,37,1582847655760829210,GNSSpuck,42.3390729967,-71.08446623,7.206,328285.373632,4689528.48499,19,T,5
1582847656775533965,38,1582847656773097515,GNSSpuck,42.3390726417,-71.0844753317,8.404,328284.622856,4689528.46395,19,T,5
1582847657760791274,39,1582847657759144306,GNSSpuck,42.3390717467,-71.0844748117,9.337,328284.663258,4689528.36351,19,T,5
1582847658766229774,40,1582847658764768600,GNSSpuck,42.3390707017,-71.084472455,9.918,328284.854559,4689528.24272,19,T,5
1582847659762861720,41,1582847659762547492,GNSSpuck,42.3390693983,-71.0844706317,10.264,328285.001221,4689528.09431,19,T,5
1582847660798755058,42,1582847660796388626,GNSSpuck,42.3390729783,-71.0844679133,7.37,328285.234907,4689528.48635,19,T,5
1582847661763672995,43,1582847661762738466,GNSSpuck,42.3390724533,-71.0844679317,7.111,328285.231967,4689528.42809,19,T,5
1582847662773697313,44,1582847662770914316,GNSSpuck,42.3390742883,-71.0844662133,6.328,328285.378521,4689528.62838,19,T,5
1582847663765679403,45,1582847663763068437,GNSSpuck,42.3390755383,-71.0844647083,5.54,328285.505908,4689528.76415,19,T,5
1582847664774861252,46,1582847664770680427,GNSSpuck,42.3390771167,-71.0844629833,5.175,328285.652313,4689528.93592,19,T,5
1582847665762233340,47,1582847665760586023,GNSSpuck,42.3390787033,-71.0844613567,4.934,328285.79064,4689529.10883,19,T,5
1582847666765971786,48,1582847666764676570,GNSSpuck,42.3390785483,-71.0844614283,5.032,328285.784314,4689529.09176,19,T,5
1582847667771676960,49,1582847667768333911,GNSSpuck,42.3390783683,-71.0844621717,5.184,328285.722587,4689529.07327,19,T,5
1582847668778270183,50,1582847668773691177,GNSSpuck,42.3390782133,-71.0844629517,5.277,328285.657907,4689529.05764,19,T,5
1582847669778969808,51,1582847669778420448,GNSSpuck,42.3390769533,-71.0844634017,5.328,328285.617405,4689528.91863,19,T,5
1582847670772958836,52,1582847670769920587,GNSSpuck,42.3390760283,-71.0844637133,5.032,328285.589212,4689528.81655,19,T,5
1582847671773358494,53,1582847671769942283,GNSSpuck,42.3390757933,-71.0844640467,4.889,328285.561112,4689528.79113,19,T,5
1582847672820690525,54,1582847672817385911,GNSSpuck,42.33907553,-71.084464515,4.908,328285.521813,4689528.76283,19,T,5
1582847673765813156,55,1582847673762458562,GNSSpuck,42.3390755117,-71.0844649867,4.923,328285.482906,4689528.76175,19,T,5
1582847674777675706,56,1582847674775218248,GNSSpuck,42.3390756717,-71.0844654983,4.946,328285.44119,4689528.78055,19,T,5
1582847675760320676,57,1582847675758078098,GNSSpuck,42.3390757583,-71.0844660467,4.967,328285.396253,4689528.79128,19,T,5
1582847676775467091,58,1582847676774869680,GNSSpuck,42.33907543,-71.0844666217,4.973,328285.34799,4689528.75598,19,T,5
1582847677767239836,59,1582847677763968706,GNSSpuck,42.3390748217,-71.0844672117,4.956,328285.297729,4689528.68962,19,T,5
