%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter_as_fields,field.quality
1582845939416903658,670,1582845939415476083,GNSSpuck,42.3375297867,-71.0868512533,-43.689,328084.685947,4689361.94258,19,T,1
1582845940529193990,671,1582845940528817415,GNSSpuck,42.3373229567,-71.0868521167,47.285,328084.051186,4689338.97744,19,T,5
1582845941413738465,672,1582845941412174701,GNSSpuck,42.337406495,-71.0868490867,-2.604,328084.52846,4689348.2476,19,T,5
1582845942510789216,673,1582845942509290218,GNSSpuck,42.3373682533,-71.0868469067,0.346,328084.603844,4689343.99675,19,T,5
1582845943419510384,674,1582845943418488740,GNSSpuck,42.3373292917,-71.0868438883,5.1,328084.746332,4689339.66425,19,T,5
1582845944411458552,675,1582845944408999443,GNSSpuck,42.3373008267,-71.0868412517,8.102,328084.885981,4689336.4981,19,T,5
1582845945456641171,676,1582845945455450773,GNSSpuck,42.3372723117,-71.08683782,11.743,328085.090989,4689333.32479,19,T,5
1582845946418297784,677,1582845946417129755,GNSSpuck,42.3372499767,-71.0868340517,14.069,328085.340575,4689330.83704,19,T,5
1582845947513913154,678,1582845947512670040,GNSSpuck,42.3372303283,-71.0868312583,16.19,328085.517157,4689328.6496,19,T,5
1582845948415458224,679,1582845948414003849,GNSSpuck,42.337211895,-71.0868299317,18.195,328085.576221,4689326.60003,19,T,5
1582845949410294765,680,1582845949409578800,GNSSpuck,42.33719584,-71.0868272733,19.706,328085.751475,4689324.81187,19,T,5
1582845950559121231,681,1582845950556531429,GNSSpuck,42.3371821967,-71.0868220383,20.816,328086.145576,4689323.2863,19,T,5
1582845951510700554,682,1582845951509223461,GNSSpuck,42.3371672333,-71.0868145567,22.384,328086.721171,4689321.60961,19,T,5
1582845952413579499,683,1582845952412273883,GNSSpuck,42.3371539267,-71.0868059967,23.716,328087.390118,4689320.1147,19,T,1
1582845953425268086,684,1582845953422819614,GNSSpuck,42.3371090517,-71.086808305,21.738,328087.077662,4689315.13634,19,T,1
1582845954408690747,685,1582845954406883239,GNSSpuck,42.3370595667,-71.0868155117,14.837,328086.349097,4689309.65598,19,T,1
1582845955508096250,686,1582845955506219863,GNSSpuck,42.3363107417,-71.0868025633,323.719,328085.375275,4689226.47851,19,T,5
1582845956503698655,687,1582845956502320528,GNSSpuck,42.3365173633,-71.0867907133,255.719,328086.914582,4689249.39831,19,T,5
1582845957516154066,688,1582845957514092445,GNSSpuck,42.3367104067,-71.086779805,195.351,328088.339305,4689270.81224,19,T,5
1582845958497711691,689,1582845958495603799,GNSSpuck,42.336660525,-71.0867725367,212.611,328088.802179,4689265.25857,19,T,5
1582845959514714791,690,1582845959514425516,GNSSpuck,42.3366769433,-71.086761575,207.7,328089.749993,4689267.05954,19,T,1
1582845960412339493,691,1582845960410942316,GNSSpuck,42.3367719983,-71.0868012317,93.268,328086.741913,4689277.69484,19,T,5
1582845961528384391,692,1582845961527118444,GNSSpuck,42.33695689,-71.0867860167,35.082,328088.499226,4689298.19489,19,T,5
1582845962410999121,693,1582845962409312725,GNSSpuck,42.33709232,-71.086803595,-60.899,328087.420097,4689313.2689,19,T,1
1582845963517834558,694,1582845963517305374,GNSSpuck,42.3372595667,-71.0868293333,-178.986,328085.755424,4689331.8924,19,T,1
1582845964411572842,695,1582845964410596847,GNSSpuck,42.3374754033,-71.0868607417,-327.476,328083.756061,4689355.92291,19,T,5
1582845965413485998,696,1582845965412520170,GNSSpuck,42.3370091183,-71.086736635,39.947,328092.709826,4689303.89461,19,T,5
1582845966422999616,697,1582845966421905517,GNSSpuck,42.337049915,-71.0867187533,38.99,328094.294164,4689308.38862,19,T,5
1582845967415150684,698,1582845967413665294,GNSSpuck,42.33720662,-71.08663351,105.362,328101.74387,4689325.61718,19,T,1
1582845968417563326,699,1582845968414051055,GNSSpuck,42.337435185,-71.0865602867,125.976,328108.399087,4689350.84955,19,T,1
1582845969426249676,700,1582845969422873497,GNSSpuck,42.3370309,-71.0866464317,118.52,328100.200522,4689306.13094,19,T,1
1582845970526137592,701,1582845970524271965,GNSSpuck,42.3371754867,-71.0866594433,28.024,328099.522542,4689322.21249,19,T,1
