%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter_as_fields,field.quality
1582848319764429569,616,1582848319762003898,GNSSpuck,42.3391062517,-71.084451355,1.737,328286.689582,4689532.14766,19,T,5
1582848320778342086,617,1582848320776021480,GNSSpuck,42.3391060617,-71.084453195,1.908,328286.537482,4689532.13028,19,T,5
1582848321759807213,618,1582848321759208679,GNSSpuck,42.3391031583,-71.084456805,2.026,328286.232182,4689531.81518,19,T,5
1582848322778603102,619,1582848322775163888,GNSSpuck,42.3391007317,-71.084461315,2.088,328285.854035,4689531.55482,19,T,5
1582848323758467671,620,1582848323756639242,GNSSpuck,42.3390980233,-71.084465815,2.197,328285.475945,4689531.26317,19,T,5
1582848324771014593,621,1582848324769786357,GNSSpuck,42.33909554,-71.0844693583,2.223,328285.17728,4689530.99457,19,T,5
1582848325771850386,622,1582848325768128395,GNSSpuck,42.3390933583,-71.0844726333,2.312,328284.901542,4689530.75893,19,T,5
1582848326783783894,623,1582848326778926134,GNSSpuck,42.339091845,-71.0844749833,2.383,328284.703825,4689530.59563,19,T,5
1582848327769773108,624,1582848327766198873,GNSSpuck,42.3390895467,-71.0844775033,2.436,328284.489967,4689530.3455,19,T,5
1582848328784253166,625,1582848328779591798,GNSSpuck,42.3390881767,-71.0844802983,2.534,328284.255981,4689530.19902,19,T,5
1582848329761440914,626,1582848329761311531,GNSSpuck,42.33908594,-71.0844825867,2.604,328284.061376,4689529.95528,19,T,5
1582848330777783771,627,1582848330776830673,GNSSpuck,42.33908467,-71.0844849967,2.688,328283.859379,4689529.81912,19,T,5
1582848331763327183,628,1582848331761912107,GNSSpuck,42.339082725,-71.0844869933,2.77,328283.689596,4689529.60718,19,T,5
1582848332788292276,629,1582848332786750555,GNSSpuck,42.339080445,-71.0844899217,2.82,328283.442149,4689529.35991,19,T,5
